UserID,total_courses,avg_spending,avg_course_rating,diversity_score,learning_depth_index,beginner_ratio,enrollment_frequency,category_concentration,n_categories,recency_days,preferred_category_enc,preferred_level_enc
P0019,3,532.14,4.666666666666667,3,0.16666666666666666,0.6666666666666666,0.0029850746268656717,0.625,3,262,4,1
P0020,9,950.7277777777776,4.411111111111111,6,0.7777777777777778,0.0,0.00703125,0.25,6,40,3,0
P0021,14,590.4664285714287,4.328571428571428,6,0.25,0.5,0.00980392156862745,0.25,6,20,2,1
P0022,14,718.3407142857143,4.285714285714286,6,0.4642857142857143,0.21428571428571427,0.012048192771084338,0.25,6,69,3,2
P0023,18,555.021111111111,4.355555555555556,6,0.1388888888888889,0.7777777777777778,0.014331210191082803,0.25,6,35,2,1
P0024,26,643.7796153846155,4.3769230769230765,6,0.36538461538461536,0.4230769230769231,0.019103600293901544,0.25,6,77,3,1
P0025,2,465.615,4.1,2,0.0,1.0,0.006896551724137931,0.75,2,835,5,1
P0026,3,593.0733333333333,4.366666666666667,2,0.3333333333333333,0.3333333333333333,0.0024813895781637717,0.75,2,29,2,2
P0027,3,506.59,4.433333333333334,3,0.16666666666666666,0.6666666666666666,0.013333333333333334,0.625,3,12,5,1
P0028,6,1031.155,4.533333333333333,3,0.9166666666666666,0.0,0.005825242718446602,0.625,3,334,0,0
P0029,21,703.6723809523809,4.404761904761905,6,0.30952380952380953,0.5238095238095238,0.015021459227467811,0.25,6,43,2,1
P0030,18,701.8655555555556,4.288888888888889,6,0.4444444444444444,0.2222222222222222,0.014492753623188406,0.25,6,42,1,2
P0031,3,926.2633333333333,4.233333333333333,3,0.8333333333333334,0.0,0.004934210526315789,0.625,3,234,3,0
P0032,15,636.5546666666667,4.46,5,0.26666666666666666,0.6,0.01364877161055505,0.375,5,265,3,1
P0033,4,607.8525,4.05,3,0.25,0.5,0.003369839932603201,0.625,3,10,3,2
P0034,1,546.69,4.9,1,0.5,0.0,1.0,0.875,1,50,1,2
P0035,3,780.4333333333334,4.533333333333334,3,0.3333333333333333,0.3333333333333333,0.011406844106463879,0.625,3,488,4,2
P0036,5,1300.23,4.46,4,1.0,0.0,0.004642525533890436,0.5,4,164,2,0
P0037,8,1181.24125,4.5375,4,0.9375,0.0,0.0060882800608828,0.5,4,106,2,0
P0038,16,727.36375,4.41875,6,0.46875,0.25,0.012204424103737605,0.25,6,51,2,2
P0039,9,1013.6922222222222,4.566666666666666,5,0.8333333333333334,0.0,0.006741573033707865,0.375,5,67,2,0
P0040,18,769.3183333333333,4.222222222222222,6,0.5,0.2777777777777778,0.014925373134328358,0.25,6,30,1,2
P0041,27,540.5996296296297,4.32962962962963,6,0.16666666666666666,0.6666666666666666,0.0215311004784689,0.25,6,128,3,1
P0042,8,972.3612499999999,4.375,5,0.875,0.0,0.006065200909780136,0.375,5,35,0,0
P0043,26,733.7584615384616,4.415384615384616,5,0.3269230769230769,0.46153846153846156,0.01908957415565345,0.375,5,89,2,1
P0044,18,783.2233333333334,4.4944444444444445,6,0.5277777777777778,0.2222222222222222,0.014095536413469069,0.25,6,116,4,2
P0045,10,1090.511,4.529999999999999,4,0.85,0.0,0.011614401858304297,0.5,4,581,2,0
P0046,1,710.48,4.0,1,0.5,0.0,1.0,0.875,1,1008,5,2
P0047,5,872.616,4.18,4,0.7,0.2,0.00544069640914037,0.5,4,434,3,0
P0048,20,914.3905000000001,4.2,6,0.7,0.05,0.015360983102918587,0.25,6,127,4,2
P0049,25,651.462,4.504,6,0.26,0.56,0.018355359765051395,0.25,6,99,2,1
P0050,26,573.9976923076923,4.3307692307692305,6,0.21153846153846154,0.6153846153846154,0.018309859154929577,0.25,6,10,2,1
P0051,5,953.0719999999999,4.4,3,0.6,0.2,0.00625,0.625,3,89,4,2
P0052,21,567.2771428571428,4.1761904761904765,6,0.23809523809523808,0.5714285714285714,0.01563663440059568,0.25,6,13,2,1
P0053,1,957.44,4.0,1,1.0,0.0,1.0,0.875,1,400,3,0
P0054,8,891.14375,4.3,4,0.6875,0.125,0.006956521739130435,0.5,4,46,4,0
P0055,2,523.84,4.05,2,0.0,1.0,0.007751937984496124,0.75,2,637,3,1
P0056,8,1019.9712499999999,4.4,6,0.8125,0.125,0.00909090909090909,0.25,6,274,5,0
P0057,16,796.289375,4.275,6,0.5,0.1875,0.013445378151260505,0.25,6,109,2,2
P0058,6,583.0183333333333,3.9166666666666665,4,0.25,0.5,0.008,0.5,4,174,5,1
P0059,2,442.895,4.65,2,0.0,1.0,0.003861003861003861,0.75,2,661,5,1
P0060,15,742.7353333333334,4.433333333333334,5,0.4666666666666667,0.4,0.012305168170631665,0.375,5,203,1,1
P0061,5,534.914,4.26,3,0.2,0.6,0.004604051565377533,0.625,3,179,4,1
P0062,6,695.1966666666667,4.316666666666667,4,0.3333333333333333,0.5,0.006779661016949152,0.5,4,209,5,1
P0063,11,695.1800000000001,4.509090909090909,4,0.4090909090909091,0.2727272727272727,0.00870253164556962,0.5,4,64,0,2
P0064,2,513.655,4.05,2,0.0,1.0,0.009852216748768473,0.75,2,1169,2,1
P0065,25,647.7008000000001,4.376,6,0.3,0.48,0.017972681524083392,0.25,6,70,2,1
P0066,15,756.0233333333333,4.46,5,0.5,0.26666666666666666,0.011152416356877323,0.375,5,60,1,2
P0067,14,800.6792857142857,4.3428571428571425,6,0.5,0.21428571428571427,0.01078582434514638,0.25,6,53,3,2
P0068,17,751.9317647058824,4.041176470588235,6,0.4411764705882353,0.35294117647058826,0.012686567164179104,0.25,6,96,3,2
P0069,13,939.573846153846,4.2,5,0.8076923076923077,0.07692307692307693,0.011035653650254669,0.375,5,94,2,0
P0070,18,758.3072222222222,4.405555555555555,5,0.4166666666666667,0.3333333333333333,0.014195583596214511,0.375,5,131,1,2
P0071,11,1017.1681818181819,4.236363636363636,4,0.8181818181818182,0.09090909090909091,0.008166295471417966,0.5,4,23,4,0
P0072,23,634.3995652173913,4.434782608695652,6,0.2608695652173913,0.6086956521739131,0.01809598741148702,0.25,6,17,4,1
P0073,10,1234.34,4.5600000000000005,5,1.0,0.0,0.008525149190110827,0.375,5,61,2,0
P0074,14,685.9921428571428,4.2214285714285715,6,0.5,0.2857142857142857,0.013500482160077145,0.25,6,259,0,2
P0075,16,733.68875,4.48125,5,0.375,0.4375,0.011602610587382161,0.375,5,17,2,1
P0076,21,777.7738095238095,4.257142857142857,6,0.5476190476190477,0.14285714285714285,0.015613382899628252,0.25,6,86,0,2
P0077,25,671.552,4.388,6,0.3,0.48,0.018063583815028903,0.25,6,23,3,1
P0078,19,716.3763157894737,4.352631578947369,5,0.39473684210526316,0.42105263157894735,0.0202991452991453,0.375,5,37,1,1
P0079,28,650.3046428571428,4.353571428571429,6,0.25,0.6428571428571429,0.020911127707244213,0.25,6,70,2,1
P0080,14,453.65642857142853,4.378571428571428,6,0.07142857142857142,0.8571428571428571,0.010378057820607857,0.25,6,48,0,1
P0081,20,605.8245,4.375,6,0.275,0.45,0.014094432699083862,0.25,6,13,3,2
P0082,2,476.35,4.3,1,0.0,1.0,0.002728512960436562,0.875,1,84,2,1
P0083,6,583.7433333333333,4.3999999999999995,3,0.16666666666666666,0.8333333333333334,0.011695906432748537,0.625,3,93,1,1
P0084,21,727.7057142857143,4.309523809523809,6,0.35714285714285715,0.42857142857142855,0.014935988620199146,0.25,6,15,3,1
P0085,6,872.7133333333333,4.266666666666667,5,0.5833333333333334,0.16666666666666666,0.004559270516717325,0.375,5,58,4,2
P0086,18,608.1855555555555,4.427777777777778,5,0.25,0.5555555555555556,0.01437699680511182,0.375,5,72,2,1
P0087,6,579.9499999999999,4.416666666666667,2,0.08333333333333333,0.8333333333333334,0.0046801872074883,0.75,2,139,1,1
P0088,21,629.8585714285715,4.419047619047619,5,0.2619047619047619,0.5238095238095238,0.015239477503628448,0.375,5,55,3,1
P0089,16,516.58875,4.375,6,0.125,0.75,0.011764705882352941,0.25,6,40,4,1
P0090,5,550.854,4.279999999999999,4,0.2,0.6,0.003538570417551309,0.5,4,18,1,1
P0091,11,1099.1572727272726,4.581818181818182,6,0.8181818181818182,0.09090909090909091,0.00837138508371385,0.25,6,48,2,0
P0092,18,637.7911111111111,4.300000000000001,5,0.25,0.5555555555555556,0.01347305389221557,0.375,5,46,2,1
P0093,19,723.5815789473684,4.4526315789473685,6,0.39473684210526316,0.3684210526315789,0.013678905687544997,0.25,6,72,0,2
P0094,4,684.685,4.25,3,0.25,0.5,0.0035938903863432167,0.625,3,98,5,2
P0095,21,669.8004761904763,4.328571428571429,6,0.3333333333333333,0.47619047619047616,0.017341040462427744,0.25,6,128,4,1
P0096,17,754.6311764705882,4.2823529411764705,6,0.5,0.17647058823529413,0.01519213583556747,0.25,6,56,1,2
P0097,5,1070.118,4.38,3,0.8,0.0,0.01126126126126126,0.625,3,130,3,0
P0098,22,718.1277272727273,4.4772727272727275,6,0.45454545454545453,0.2727272727272727,0.015373864430468204,0.25,6,19,2,2
P0099,4,521.7825,4.225,3,0.125,0.75,0.003284072249589491,0.625,3,200,1,1
P0100,29,569.4834482758621,4.462068965517242,6,0.25862068965517243,0.5517241379310345,0.020758768790264854,0.25,6,11,3,1
P0101,10,725.2180000000001,4.05,5,0.45,0.3,0.01,0.375,5,455,2,2
P0102,21,699.7019047619048,4.314285714285714,6,0.35714285714285715,0.47619047619047616,0.016178736517719568,0.25,6,113,2,1
P0103,30,576.3423333333334,4.406666666666666,6,0.21666666666666667,0.7,0.021352313167259787,0.25,6,56,5,1
P0104,21,499.87666666666667,4.376190476190477,6,0.14285714285714285,0.7142857142857143,0.02046783625730994,0.25,6,324,3,1
P0105,13,586.2338461538461,4.323076923076924,6,0.15384615384615385,0.6923076923076923,0.009672619047619048,0.25,6,93,3,1
P0106,16,1040.41375,4.4625,4,0.75,0.0625,0.012830793905372895,0.5,4,189,2,0
P0107,16,796.010625,4.3,6,0.53125,0.1875,0.012509773260359656,0.25,6,20,3,2
P0108,19,656.2263157894737,4.4263157894736835,6,0.3157894736842105,0.47368421052631576,0.013868613138686132,0.25,6,45,0,1
P0109,18,573.5388888888889,4.288888888888889,5,0.19444444444444445,0.6666666666666666,0.012875536480686695,0.375,5,52,1,1
P0110,25,581.2883999999999,4.164,6,0.22,0.64,0.01790830945558739,0.25,6,53,3,1
P0111,21,688.7228571428572,4.414285714285715,5,0.35714285714285715,0.42857142857142855,0.01509705248023005,0.375,5,27,1,1
P0112,20,693.7245,4.285,6,0.35,0.45,0.014825796886582653,0.25,6,93,3,1
P0113,1,477.95,4.2,1,0.0,1.0,1.0,0.875,1,652,5,1
P0114,4,478.0775,4.175,3,0.125,0.75,0.01694915254237288,0.625,3,787,1,1
P0115,13,539.7607692307691,4.415384615384616,6,0.15384615384615385,0.6923076923076923,0.009537784299339692,0.25,6,54,3,1
P0116,6,435.99166666666673,4.266666666666667,4,0.0,1.0,0.007281553398058253,0.5,4,126,4,1
P0117,3,766.6933333333333,4.633333333333334,2,0.3333333333333333,0.3333333333333333,0.003105590062111801,0.75,2,60,5,2
P0118,4,1293.16,4.300000000000001,4,1.0,0.0,0.004197271773347324,0.5,4,266,2,0
P0119,10,1006.5559999999999,4.41,4,0.75,0.1,0.006910850034554251,0.5,4,12,2,0
P0120,12,1038.3966666666668,4.416666666666667,4,0.7916666666666666,0.08333333333333333,0.009764035801464606,0.5,4,89,2,0
P0121,17,873.0117647058823,4.158823529411765,6,0.5882352941176471,0.23529411764705882,0.01433389544688027,0.25,6,139,3,0
P0122,21,592.8976190476191,4.4523809523809526,6,0.21428571428571427,0.6190476190476191,0.015086206896551725,0.25,6,30,2,1
P0123,15,638.372,4.26,6,0.3,0.5333333333333333,0.0117096018735363,0.25,6,36,4,1
P0124,15,554.5906666666667,4.453333333333333,6,0.13333333333333333,0.7333333333333333,0.012479201331114808,0.25,6,218,3,1
P0125,25,558.3856,4.42,6,0.22,0.6,0.018102824040550327,0.25,6,23,1,1
P0126,19,693.28,4.257894736842106,6,0.3684210526315789,0.42105263157894735,0.01442672741078208,0.25,6,144,4,1
P0127,15,685.22,4.24,6,0.3333333333333333,0.4,0.013774104683195593,0.25,6,74,3,2
P0128,5,529.818,4.640000000000001,4,0.1,0.8,0.004058441558441558,0.5,4,113,1,1
P0129,25,640.2352000000001,4.284,6,0.28,0.6,0.0191131498470948,0.25,6,146,2,1
P0130,17,745.4217647058823,4.335294117647059,6,0.5294117647058824,0.17647058823529413,0.015828677839851025,0.25,6,367,1,2
P0131,6,1085.905,4.6000000000000005,3,0.75,0.16666666666666666,0.004329004329004329,0.625,3,68,2,0
P0132,22,611.6413636363636,4.427272727272728,6,0.3181818181818182,0.5,0.015942028985507246,0.25,6,70,1,1
P0133,18,535.5111111111112,4.322222222222222,5,0.16666666666666666,0.6666666666666666,0.013363028953229399,0.375,5,73,2,1
P0134,6,527.7266666666667,4.533333333333333,3,0.16666666666666666,0.6666666666666666,0.004548900682335102,0.625,3,135,1,1
P0135,12,1063.6541666666667,4.45,5,0.875,0.0,0.00913937547600914,0.375,5,53,4,0
P0136,10,1111.978,4.51,5,0.9,0.0,0.008904719501335707,0.375,5,130,2,0
P0137,3,495.7633333333333,4.2,3,0.16666666666666666,0.6666666666666666,0.01,0.625,3,735,4,1
P0138,19,681.2215789473685,4.363157894736842,6,0.47368421052631576,0.21052631578947367,0.013418079096045197,0.25,6,23,2,2
P0139,5,1037.194,4.2,4,0.9,0.0,0.006693440428380187,0.5,4,704,3,0
P0140,19,651.6205263157894,4.173684210526315,6,0.2631578947368421,0.5789473684210527,0.013929618768328446,0.25,6,64,3,1
P0141,11,1079.6281818181817,4.3545454545454545,5,0.8636363636363636,0.0,0.009838998211091235,0.375,5,233,4,0
P0142,21,624.2785714285715,4.214285714285714,6,0.2857142857142857,0.5238095238095238,0.015555555555555555,0.25,6,22,0,1
P0143,18,687.7433333333333,4.333333333333333,6,0.3055555555555556,0.5,0.014029618082618862,0.25,6,178,2,1
P0144,2,1194.32,4.050000000000001,1,1.0,0.0,0.00199203187250996,0.875,1,245,2,0
P0145,18,771.156111111111,4.4,5,0.3888888888888889,0.5,0.01267605633802817,0.375,5,10,2,1
P0146,5,813.6479999999999,4.4799999999999995,5,0.4,0.4,0.004291845493562232,0.375,5,182,5,2
P0147,5,571.226,4.6,3,0.1,0.8,0.004122011541632316,0.625,3,46,1,1
P0148,17,517.2505882352941,4.229411764705882,5,0.17647058823529413,0.7058823529411765,0.014912280701754385,0.375,5,271,3,1
P0149,7,631.7314285714285,4.414285714285714,4,0.35714285714285715,0.42857142857142855,0.005376344086021506,0.5,4,26,2,1
P0150,2,503.91499999999996,3.8,2,0.0,1.0,0.0017574692442882249,0.75,2,302,4,1
P0151,16,1065.928125,4.3375,4,0.90625,0.0,0.011577424023154847,0.5,4,60,4,0
P0152,18,642.2216666666667,4.138888888888889,5,0.25,0.6111111111111112,0.01308139534883721,0.375,5,26,1,1
P0153,6,999.7483333333333,4.433333333333334,4,0.75,0.16666666666666666,0.00558659217877095,0.5,4,317,2,0
P0154,16,742.715,4.2625,5,0.5,0.1875,0.011404133998574484,0.375,5,28,2,2
P0155,24,656.25375,4.329166666666667,5,0.25,0.5833333333333334,0.017660044150110375,0.375,5,79,3,1
P0156,3,741.0866666666667,4.266666666666667,3,0.5,0.3333333333333333,0.007614213197969543,0.625,3,541,2,2
P0157,5,610.548,4.4,3,0.3,0.4,0.004016064257028112,0.625,3,166,3,2
P0158,15,846.25,4.293333333333334,5,0.5666666666666667,0.26666666666666666,0.013215859030837005,0.375,5,262,3,0
P0159,23,594.4378260869565,4.352173913043478,6,0.21739130434782608,0.6086956521739131,0.019591141396933562,0.25,6,177,3,1
P0160,16,702.176875,4.41875,6,0.40625,0.3125,0.0136986301369863,0.25,6,145,0,2
P0161,6,515.3333333333334,4.466666666666667,4,0.08333333333333333,0.8333333333333334,0.005970149253731343,0.5,4,355,2,1
P0162,19,646.672105263158,4.336842105263158,5,0.23684210526315788,0.5789473684210527,0.014913657770800628,0.375,5,74,2,1
P0163,5,578.0400000000001,4.34,2,0.1,0.8,0.00441696113074205,0.75,2,113,1,1
P0164,19,728.79,4.421052631578948,5,0.4473684210526316,0.3157894736842105,0.016608391608391608,0.375,5,289,0,2
P0165,12,1018.7708333333334,4.3500000000000005,5,0.75,0.16666666666666666,0.009252120277563608,0.375,5,147,3,0
P0166,4,471.35249999999996,4.6,2,0.0,1.0,0.005943536404160475,0.75,2,409,5,1
P0167,15,789.9326666666667,4.4399999999999995,5,0.6333333333333333,0.06666666666666667,0.011045655375552283,0.375,5,58,5,2
P0168,7,983.9514285714286,4.214285714285714,3,0.8571428571428571,0.0,0.005751848808545604,0.625,3,202,2,0
P0169,19,708.7873684210526,4.431578947368421,6,0.42105263157894735,0.3157894736842105,0.014232209737827715,0.25,6,45,0,2
P0170,13,619.503076923077,4.492307692307692,5,0.23076923076923078,0.6923076923076923,0.01019607843137255,0.375,5,37,2,1
P0171,6,631.475,4.516666666666667,5,0.25,0.5,0.004995836802664446,0.375,5,257,1,2
P0172,3,564.13,4.733333333333333,3,0.3333333333333333,0.6666666666666666,0.007142857142857143,0.625,3,190,5,1
P0173,1,480.5,3.9,1,0.0,1.0,1.0,0.875,1,725,5,1
P0174,5,616.336,4.5200000000000005,4,0.3,0.4,0.006289308176100629,0.5,4,88,4,2
P0175,17,624.5852941176471,4.417647058823529,6,0.3235294117647059,0.47058823529411764,0.01241782322863404,0.25,6,46,3,1
P0176,15,771.814,4.26,6,0.5333333333333333,0.2,0.011529592621060722,0.25,6,62,2,2
P0177,15,802.6706666666666,4.513333333333334,5,0.4666666666666667,0.26666666666666666,0.010972933430870519,0.375,5,28,1,2
P0178,14,743.9407142857143,4.3428571428571425,5,0.5357142857142857,0.2857142857142857,0.013084112149532711,0.375,5,364,4,2
P0179,10,1086.545,4.1899999999999995,5,0.85,0.0,0.00764525993883792,0.375,5,38,2,0
P0180,22,769.6418181818182,4.1863636363636365,6,0.4772727272727273,0.36363636363636365,0.015503875968992248,0.25,6,19,1,1
P0181,2,758.805,4.4,2,0.5,0.0,0.0017050298380221654,0.75,2,225,5,2
P0182,2,578.03,4.55,1,0.5,0.0,0.0018975332068311196,0.875,1,215,0,2
P0183,17,836.0417647058823,4.4411764705882355,6,0.4411764705882353,0.29411764705882354,0.013923013923013924,0.25,6,181,1,2
P0184,2,1390.6950000000002,4.55,2,1.0,0.0,0.00546448087431694,0.75,2,485,4,0
P0185,5,614.952,4.159999999999999,4,0.2,0.6,0.0039494470774091624,0.5,4,48,1,1
P0186,1,770.2,3.9,1,1.0,0.0,1.0,0.875,1,1214,5,0
P0187,3,402.17333333333335,4.266666666666667,3,0.0,1.0,0.004297994269340974,0.625,3,295,4,1
P0188,15,695.4766666666667,4.3533333333333335,6,0.4,0.4,0.01085383502170767,0.25,6,70,2,1
P0189,1,624.66,4.5,1,0.5,0.0,1.0,0.875,1,43,4,2
P0190,20,577.153,4.279999999999999,6,0.225,0.55,0.014630577907827359,0.25,6,88,3,1
P0191,5,971.0459999999999,4.4,4,0.8,0.0,0.0049504950495049506,0.5,4,290,2,0
P0192,5,1065.3899999999999,4.220000000000001,3,0.9,0.0,0.0047984644913627635,0.625,3,66,4,0
P0193,8,769.63875,4.425,4,0.5,0.125,0.007266121707538601,0.5,4,312,3,2
P0194,15,748.4906666666667,4.473333333333333,6,0.5,0.13333333333333333,0.011618900077459334,0.25,6,47,2,2
P0195,6,1127.7616666666665,4.433333333333334,4,1.0,0.0,0.007957559681697613,0.5,4,218,2,0
P0196,24,678.8466666666667,4.3374999999999995,6,0.3541666666666667,0.4166666666666667,0.016853932584269662,0.25,6,27,2,2
P0197,1,1037.49,4.9,1,1.0,0.0,1.0,0.875,1,1318,1,0
P0198,2,493.0,4.15,2,0.0,1.0,0.013071895424836602,0.75,2,858,4,1
P0199,6,979.7433333333333,4.466666666666667,3,0.75,0.16666666666666666,0.004765687053216839,0.625,3,93,3,0
P0200,15,703.452,4.233333333333333,5,0.36666666666666664,0.4666666666666667,0.010630758327427357,0.375,5,11,3,1
P0201,19,583.5942105263158,4.2894736842105265,6,0.2631578947368421,0.5263157894736842,0.01400147383935151,0.25,6,105,3,1
P0202,12,731.4216666666666,4.508333333333334,6,0.4166666666666667,0.3333333333333333,0.010535557506584723,0.25,6,56,1,2
P0203,20,608.2935,4.33,5,0.225,0.6,0.01682085786375105,0.375,5,19,2,1
P0204,16,746.541875,4.2125,5,0.46875,0.25,0.01188707280832095,0.375,5,36,0,2
P0205,5,712.112,4.36,3,0.3,0.6,0.00441696113074205,0.625,3,39,5,1
P0206,5,594.172,4.38,4,0.3,0.6,0.011764705882352941,0.5,4,337,1,1
P0207,15,737.3773333333334,4.42,6,0.4666666666666667,0.3333333333333333,0.01111934766493699,0.25,6,93,0,2
P0208,12,1157.6691666666668,4.433333333333334,4,0.875,0.0,0.011571841851494697,0.5,4,176,2,0
P0209,4,518.6775,4.075,3,0.0,1.0,0.002973977695167286,0.625,3,53,4,1
P0210,12,1115.535,4.175,5,0.875,0.0,0.01405152224824356,0.375,5,240,2,0
P0211,2,1252.925,4.85,1,1.0,0.0,0.016666666666666666,0.875,1,208,2,0
P0212,13,566.1492307692307,4.453846153846154,6,0.15384615384615385,0.7692307692307693,0.009386281588447653,0.25,6,70,2,1
P0213,18,612.2972222222222,4.444444444444445,6,0.2777777777777778,0.5,0.014729950900163666,0.25,6,213,2,1
P0214,23,670.0326086956521,4.378260869565217,6,0.30434782608695654,0.5652173913043478,0.019827586206896553,0.25,6,254,3,1
P0215,24,759.50625,4.404166666666667,6,0.4791666666666667,0.2916666666666667,0.01866251944012442,0.25,6,132,2,2
P0216,12,738.1616666666667,4.425,6,0.3333333333333333,0.5833333333333334,0.009925558312655087,0.25,6,239,3,1
P0217,18,710.4022222222222,4.300000000000001,4,0.3333333333333333,0.3888888888888889,0.012811387900355872,0.5,4,30,2,2
P0218,11,719.6236363636364,4.472727272727273,5,0.45454545454545453,0.2727272727272727,0.008468052347959968,0.375,5,14,5,2
P0219,22,729.8227272727273,4.295454545454546,6,0.5454545454545454,0.18181818181818182,0.01652892561983471,0.25,6,80,2,2
P0220,4,448.3375,4.575,2,0.125,0.75,0.003117692907248636,0.75,2,116,4,1
P0221,3,582.9699999999999,4.433333333333334,2,0.16666666666666666,0.6666666666666666,0.003015075376884422,0.75,2,333,1,1
P0222,12,1003.8716666666666,4.25,5,0.875,0.0,0.008791208791208791,0.375,5,20,0,0
P0223,8,1136.2775,4.35,5,0.9375,0.0,0.014519056261343012,0.375,5,128,5,0
P0224,2,509.005,4.15,2,0.0,1.0,0.0020964360587002098,0.75,2,333,3,1
P0225,9,911.4477777777779,4.588888888888889,4,0.6666666666666666,0.1111111111111111,0.0078125,0.5,4,118,3,0
P0226,14,854.2164285714287,4.4714285714285715,6,0.5714285714285714,0.14285714285714285,0.011272141706924315,0.25,6,183,4,2
P0227,4,541.465,4.5,3,0.125,0.75,0.0048250904704463205,0.625,3,120,4,1
P0228,3,377.6766666666667,4.433333333333334,2,0.0,1.0,0.006666666666666667,0.75,2,89,2,1
P0229,3,476.06333333333333,4.566666666666666,2,0.3333333333333333,0.3333333333333333,0.002542372881355932,0.75,2,230,1,2
P0230,18,601.8761111111112,4.2444444444444445,6,0.2222222222222222,0.5555555555555556,0.013899613899613899,0.25,6,41,1,1
P0231,17,641.7241176470588,4.241176470588235,6,0.35294117647058826,0.4117647058823529,0.013621794871794872,0.25,6,152,2,2
P0232,21,841.9385714285714,4.585714285714285,6,0.5,0.38095238095238093,0.015861027190332326,0.25,6,65,1,0
P0233,5,1085.106,4.4799999999999995,3,0.9,0.0,0.004432624113475178,0.625,3,262,4,0
P0234,10,779.2470000000001,4.39,5,0.45,0.3,0.007369196757553427,0.375,5,16,3,2
P0235,3,621.5666666666667,4.333333333333333,2,0.16666666666666666,0.6666666666666666,0.008130081300813009,0.75,2,445,4,1
P0236,4,1215.91,4.375,4,1.0,0.0,0.0057306590257879654,0.5,4,9,4,0
P0237,5,981.9799999999999,4.26,3,0.7,0.2,0.003787878787878788,0.625,3,69,2,0
P0238,20,721.659,4.45,6,0.375,0.4,0.014749262536873156,0.25,6,97,2,2
P0239,13,710.9607692307692,4.2846153846153845,4,0.4230769230769231,0.23076923076923078,0.009737827715355805,0.5,4,101,1,2
P0240,13,827.9230769230769,4.2384615384615385,6,0.5769230769230769,0.15384615384615385,0.00941346850108617,0.25,6,44,2,2
P0241,10,795.39,4.3100000000000005,6,0.6,0.1,0.007704160246533128,0.25,6,102,5,2
P0242,3,533.02,4.433333333333334,2,0.16666666666666666,0.6666666666666666,0.013100436681222707,0.75,2,1029,1,1
P0243,26,675.1719230769231,4.2846153846153845,6,0.34615384615384615,0.38461538461538464,0.01842664776754075,0.25,6,21,3,2
P0244,34,636.7505882352941,4.302941176470589,6,0.3088235294117647,0.5,0.024251069900142655,0.25,6,47,2,1
P0245,7,1200.3457142857144,4.414285714285714,3,1.0,0.0,0.0064995357474466105,0.625,3,152,2,0
P0246,16,626.85375,4.35625,6,0.25,0.625,0.012749003984063745,0.25,6,180,3,1
P0247,18,813.2488888888888,4.405555555555555,6,0.5,0.2222222222222222,0.013323464100666173,0.25,6,49,2,2
P0248,29,606.0089655172414,4.241379310344827,6,0.22413793103448276,0.6206896551724138,0.022762951334379906,0.25,6,33,2,1
P0249,26,725.7049999999999,4.303846153846154,5,0.38461538461538464,0.5,0.01867816091954023,0.375,5,65,2,1
P0250,2,459.7,4.6,2,0.0,1.0,0.004987531172069825,0.75,2,904,3,1
