Rank,UserID,CourseID,CourseCategory,CourseLevel,CourseType,CourseRating,RecommendationScore,pop_score,cat_score,lvl_score,rating_score,Segment,TargetLevel,MatchReason
6,U0011,C0185,Technology,Intermediate,Hybrid,3.6,0.873790322580645,0.8709677419354839,1.0,1.0,0.65,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group
7,U0011,C0055,Technology,Intermediate,Video,4.1,0.8566532258064515,0.7096774193548387,1.0,1.0,0.7749999999999999,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.1★)
8,U0011,C0295,Technology,Intermediate,Video,3.9,0.8538306451612904,0.7419354838709677,1.0,1.0,0.725,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group
1,U0012,C0318,Technology,Beginner,Self-Paced,4.7,0.98125,1.0,1.0,1.0,0.925,🌿 Casual Browser,Beginner,Matches your Technology interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (4.7★)
2,U0012,C0152,Technology,Beginner,Video,4.2,0.8,0.5,1.0,1.0,0.8,🌿 Casual Browser,Beginner,Matches your Technology interest · Perfect Beginner level fit · Well rated (4.2★)
3,U0012,C0392,Technology,Beginner,Self-Paced,3.9,0.7812500000000001,0.5,1.0,1.0,0.725,🌿 Casual Browser,Beginner,Matches your Technology interest · Perfect Beginner level fit
4,U0012,C0074,Technology,Beginner,Video,3.5,0.7562500000000001,0.5,1.0,1.0,0.625,🌿 Casual Browser,Beginner,Matches your Technology interest · Perfect Beginner level fit
5,U0012,C0300,Technology,Beginner,Live,5.0,0.7,0.0,1.0,1.0,1.0,🌿 Casual Browser,Beginner,Matches your Technology interest · Perfect Beginner level fit · Highly rated (5.0★)
6,U0012,C0205,Technology,Beginner,Video,4.9,0.6937500000000001,0.0,1.0,1.0,0.9750000000000001,🌿 Casual Browser,Beginner,Matches your Technology interest · Perfect Beginner level fit · Highly rated (4.9★)
7,U0012,C0381,Technology,Beginner,Live,4.7,0.68125,0.0,1.0,1.0,0.925,🌿 Casual Browser,Beginner,Matches your Technology interest · Perfect Beginner level fit · Highly rated (4.7★)
8,U0012,C0109,Technology,Beginner,Video,4.7,0.68125,0.0,1.0,1.0,0.925,🌿 Casual Browser,Beginner,Matches your Technology interest · Perfect Beginner level fit · Highly rated (4.7★)
1,U0013,C0375,Business,Intermediate,Video,4.3,0.9175403225806451,0.8709677419354839,1.0,1.0,0.825,🚀 Career Climber,Intermediate,Matches your Business interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.3★)
2,U0013,C0003,Business,Intermediate,Video,3.9,0.9118951612903227,0.9354838709677419,1.0,1.0,0.725,🚀 Career Climber,Intermediate,Matches your Business interest · Perfect Intermediate level fit · Popular in your learner group
3,U0013,C0342,Business,Intermediate,Hybrid,4.3,0.9078629032258065,0.8387096774193549,1.0,1.0,0.825,🚀 Career Climber,Intermediate,Matches your Business interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.3★)
4,U0013,C0095,Business,Intermediate,Video,4.1,0.905040322580645,0.8709677419354839,1.0,1.0,0.7749999999999999,🚀 Career Climber,Intermediate,Matches your Business interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.1★)
5,U0013,C0216,Business,Intermediate,Hybrid,4.7,0.8941532258064515,0.7096774193548387,1.0,1.0,0.925,🚀 Career Climber,Intermediate,Matches your Business interest · Perfect Intermediate level fit · Popular in your learner group · Highly rated (4.7★)
6,U0013,C0226,Business,Intermediate,Video,4.2,0.8919354838709677,0.8064516129032258,1.0,1.0,0.8,🚀 Career Climber,Intermediate,Matches your Business interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.2★)
7,U0013,C0225,Business,Intermediate,Hybrid,4.1,0.8856854838709677,0.8064516129032258,1.0,1.0,0.7749999999999999,🚀 Career Climber,Intermediate,Matches your Business interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.1★)
8,U0013,C0067,Business,Intermediate,Video,4.3,0.8691532258064516,0.7096774193548387,1.0,1.0,0.825,🚀 Career Climber,Intermediate,Matches your Business interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.3★)
1,U0014,C0381,Technology,Beginner,Live,4.7,0.95,0.8958333333333334,1.0,1.0,0.925,🔭 Tech Explorer,Beginner,Matches your Technology interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (4.7★)
2,U0014,C0386,Technology,Beginner,Video,4.5,0.91875,0.8333333333333334,1.0,1.0,0.875,🔭 Tech Explorer,Beginner,Matches your Technology interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (4.5★)
3,U0014,C0027,Technology,Beginner,Video,4.5,0.9125000000000001,0.8125,1.0,1.0,0.875,🔭 Tech Explorer,Beginner,Matches your Technology interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (4.5★)
4,U0014,C0300,Technology,Beginner,Live,5.0,0.89375,0.6458333333333334,1.0,1.0,1.0,🔭 Tech Explorer,Beginner,Matches your Technology interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (5.0★)
5,U0014,C0205,Technology,Beginner,Video,4.9,0.8875000000000001,0.6458333333333334,1.0,1.0,0.9750000000000001,🔭 Tech Explorer,Beginner,Matches your Technology interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (4.9★)
6,U0014,C0290,Technology,Beginner,Video,4.4,0.88125,0.7291666666666666,1.0,1.0,0.8500000000000001,🔭 Tech Explorer,Beginner,Matches your Technology interest · Perfect Beginner level fit · Popular in your learner group · Well rated (4.4★)
7,U0014,C0318,Technology,Beginner,Self-Paced,4.7,0.85625,0.5833333333333334,1.0,1.0,0.925,🔭 Tech Explorer,Beginner,Matches your Technology interest · Perfect Beginner level fit · Highly rated (4.7★)
8,U0014,C0140,Technology,Beginner,Live,4.7,0.85625,0.5833333333333334,1.0,1.0,0.925,🔭 Tech Explorer,Beginner,Matches your Technology interest · Perfect Beginner level fit · Highly rated (4.7★)
1,U0020,C0183,Data Science,Beginner,Hybrid,5.0,0.93125,0.7708333333333334,1.0,1.0,1.0,🔭 Tech Explorer,Beginner,Matches your Data Science interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (5.0★)
2,U0020,C0359,Data Science,Beginner,Self-Paced,4.8,0.91875,0.7708333333333334,1.0,1.0,0.95,🔭 Tech Explorer,Beginner,Matches your Data Science interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (4.8★)
3,U0020,C0059,Data Science,Beginner,Video,4.6,0.8937499999999999,0.7291666666666666,1.0,1.0,0.8999999999999999,🔭 Tech Explorer,Beginner,Matches your Data Science interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (4.6★)
4,U0020,C0131,Data Science,Beginner,Live,4.5,0.8875,0.7291666666666666,1.0,1.0,0.875,🔭 Tech Explorer,Beginner,Matches your Data Science interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (4.5★)
5,U0020,C0348,Data Science,Beginner,Live,4.4,0.88125,0.7291666666666666,1.0,1.0,0.8500000000000001,🔭 Tech Explorer,Beginner,Matches your Data Science interest · Perfect Beginner level fit · Popular in your learner group · Well rated (4.4★)
6,U0020,C0313,Data Science,Beginner,Live,4.7,0.8812499999999999,0.6666666666666666,1.0,1.0,0.925,🔭 Tech Explorer,Beginner,Matches your Data Science interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (4.7★)
7,U0020,C0186,Data Science,Beginner,Video,4.4,0.8562500000000001,0.6458333333333334,1.0,1.0,0.8500000000000001,🔭 Tech Explorer,Beginner,Matches your Data Science interest · Perfect Beginner level fit · Popular in your learner group · Well rated (4.4★)
8,U0020,C0252,Data Science,Beginner,Self-Paced,3.9,0.8562500000000001,0.75,1.0,1.0,0.725,🔭 Tech Explorer,Beginner,Matches your Data Science interest · Perfect Beginner level fit · Popular in your learner group
1,U0022,C0183,Data Science,Beginner,Hybrid,5.0,0.93125,0.7708333333333334,1.0,1.0,1.0,🔭 Tech Explorer,Beginner,Matches your Data Science interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (5.0★)
2,U0022,C0359,Data Science,Beginner,Self-Paced,4.8,0.91875,0.7708333333333334,1.0,1.0,0.95,🔭 Tech Explorer,Beginner,Matches your Data Science interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (4.8★)
3,U0022,C0059,Data Science,Beginner,Video,4.6,0.8937499999999999,0.7291666666666666,1.0,1.0,0.8999999999999999,🔭 Tech Explorer,Beginner,Matches your Data Science interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (4.6★)
4,U0022,C0131,Data Science,Beginner,Live,4.5,0.8875,0.7291666666666666,1.0,1.0,0.875,🔭 Tech Explorer,Beginner,Matches your Data Science interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (4.5★)
5,U0022,C0348,Data Science,Beginner,Live,4.4,0.88125,0.7291666666666666,1.0,1.0,0.8500000000000001,🔭 Tech Explorer,Beginner,Matches your Data Science interest · Perfect Beginner level fit · Popular in your learner group · Well rated (4.4★)
6,U0022,C0336,Data Science,Beginner,Self-Paced,4.1,0.88125,0.7916666666666666,1.0,1.0,0.7749999999999999,🔭 Tech Explorer,Beginner,Matches your Data Science interest · Perfect Beginner level fit · Popular in your learner group · Well rated (4.1★)
7,U0022,C0313,Data Science,Beginner,Live,4.7,0.8812499999999999,0.6666666666666666,1.0,1.0,0.925,🔭 Tech Explorer,Beginner,Matches your Data Science interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (4.7★)
8,U0022,C0186,Data Science,Beginner,Video,4.4,0.8562500000000001,0.6458333333333334,1.0,1.0,0.8500000000000001,🔭 Tech Explorer,Beginner,Matches your Data Science interest · Perfect Beginner level fit · Popular in your learner group · Well rated (4.4★)
1,U0023,C0151,Technology,Intermediate,Video,4.7,0.9715725806451612,0.967741935483871,1.0,1.0,0.925,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group · Highly rated (4.7★)
2,U0023,C0254,Technology,Intermediate,Live,3.8,0.925,1.0,1.0,1.0,0.7,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group
3,U0023,C0282,Technology,Intermediate,Hybrid,4.5,0.901008064516129,0.7741935483870968,1.0,1.0,0.875,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group · Highly rated (4.5★)
4,U0023,C0085,Technology,Intermediate,Live,3.9,0.8925403225806451,0.8709677419354839,1.0,1.0,0.725,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group
5,U0023,C0123,Technology,Intermediate,Live,4.1,0.8856854838709677,0.8064516129032258,1.0,1.0,0.7749999999999999,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.1★)
6,U0023,C0017,Technology,Intermediate,Video,4.3,0.8788306451612904,0.7419354838709677,1.0,1.0,0.825,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.3★)
7,U0023,C0185,Technology,Intermediate,Hybrid,3.6,0.873790322580645,0.8709677419354839,1.0,1.0,0.65,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group
8,U0023,C0055,Technology,Intermediate,Video,4.1,0.8566532258064515,0.7096774193548387,1.0,1.0,0.7749999999999999,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.1★)
1,U0024,C0381,Technology,Beginner,Live,4.7,0.95,0.8958333333333334,1.0,1.0,0.925,🔭 Tech Explorer,Beginner,Matches your Technology interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (4.7★)
2,U0024,C0386,Technology,Beginner,Video,4.5,0.91875,0.8333333333333334,1.0,1.0,0.875,🔭 Tech Explorer,Beginner,Matches your Technology interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (4.5★)
3,U0024,C0150,Technology,Beginner,Video,4.4,0.9,0.7916666666666666,1.0,1.0,0.8500000000000001,🔭 Tech Explorer,Beginner,Matches your Technology interest · Perfect Beginner level fit · Popular in your learner group · Well rated (4.4★)
4,U0024,C0300,Technology,Beginner,Live,5.0,0.89375,0.6458333333333334,1.0,1.0,1.0,🔭 Tech Explorer,Beginner,Matches your Technology interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (5.0★)
5,U0024,C0205,Technology,Beginner,Video,4.9,0.8875000000000001,0.6458333333333334,1.0,1.0,0.9750000000000001,🔭 Tech Explorer,Beginner,Matches your Technology interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (4.9★)
6,U0024,C0290,Technology,Beginner,Video,4.4,0.88125,0.7291666666666666,1.0,1.0,0.8500000000000001,🔭 Tech Explorer,Beginner,Matches your Technology interest · Perfect Beginner level fit · Popular in your learner group · Well rated (4.4★)
7,U0024,C0171,Technology,Beginner,Self-Paced,3.8,0.8687500000000001,0.8125,1.0,1.0,0.7,🔭 Tech Explorer,Beginner,Matches your Technology interest · Perfect Beginner level fit · Popular in your learner group
8,U0024,C0318,Technology,Beginner,Self-Paced,4.7,0.85625,0.5833333333333334,1.0,1.0,0.925,🔭 Tech Explorer,Beginner,Matches your Technology interest · Perfect Beginner level fit · Highly rated (4.7★)
1,U0025,C0198,Business,Beginner,Video,4.6,0.9125,0.7916666666666666,1.0,1.0,0.8999999999999999,🔭 Tech Explorer,Beginner,Matches your Business interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (4.6★)
2,U0025,C0326,Business,Beginner,Self-Paced,4.3,0.90625,0.8333333333333334,1.0,1.0,0.825,🔭 Tech Explorer,Beginner,Matches your Business interest · Perfect Beginner level fit · Popular in your learner group · Well rated (4.3★)
3,U0025,C0207,Business,Beginner,Video,4.8,0.9000000000000001,0.7083333333333334,1.0,1.0,0.95,🔭 Tech Explorer,Beginner,Matches your Business interest · Perfect Beginner level fit · Popular in your learner group · Highly rated (4.8★)
4,U0025,C0035,Business,Beginner,Video,3.9,0.8937499999999999,0.875,1.0,1.0,0.725,🔭 Tech Explorer,Beginner,Matches your Business interest · Perfect Beginner level fit · Popular in your learner group
5,U0025,C0172,Business,Beginner,Self-Paced,4.3,0.8875,0.7708333333333334,1.0,1.0,0.825,🔭 Tech Explorer,Beginner,Matches your Business interest · Perfect Beginner level fit · Popular in your learner group · Well rated (4.3★)
